Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Backorder,Unit Price,Extended Price
1,50,RMCF0805FT4K70CT-ND,RMCF0805FT4K70,RES SMD 4.7K OHM 1% 1/8W 0805,,0,0,01120,0,56 €
2,25,1276-5377-1-ND,RC2012F473CS,RES SMD 47K OHM 1% 1/8W 0805,,0,0,01440,0,36 €
3,5,SER2417CT-ND,MC-306 32.768K-E3:ROHS,CRYSTAL 32.7680KHZ 6PF SMD,,0,0,49000,2,45 €
4,4,CY7C65213-28PVXI-ND,CY7C65213-28PVXI,IC USB-SERIAL PART 28SSOP,,0,2,45000,9,80 €
5,3,102-1722-ND,CMB-6544PF,MIC COND ANALOG OMNI -44DB,,0,0,95000,2,85 €
6,5,423-1212-1-ND,SPM1437HM4H-B,MIC MEMS  DIGITAL PDM OMNI -22DB,,0,1,66000,8,30 €
7,3,458-1062-ND,PB-1224PE-05Q,AUDIO MAGNETIC XDCR 4.5-5.5V TH,,0,1,13000,3,39 €
8,10,535-9078-1-ND,ABLS-25.000MHZ-B2F-T,CRYSTAL 25.0000MHZ 18PF SMD,,0,0,21300,2,13 €
9,2,A26418-ND,534237-4,CONN RECEPT 6POS .100 VERT AU,,0,1,02000,2,04 €
10,3,A97593-ND,5-1814400-1,CONN SMA JACK R/A 50 OHM PCB,,0,2,53000,7,59 €
11,2,553-1697-ND,W1900,ANTENNA PENTA RIGHT ANGLE SMA,,0,4,66000,9,32 €
12,10,399-10398-1-ND,T495D337M006ATE100,CAP TANT 330UF 6.3V 20% 2917,,0,1,63500,16,35 €
,,,,,,,Subtotal,65,14 €